tnum,tweet,existence
4005,"RT @DougBenson: Dear Stupid People Who Think These Winter Storms Means There's No Such Thing As Global Warming, You're stupid. Love, Shut up",Y
1097,Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech,Y
161,Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link],Y
1404,Save the Whales and They'll Save Us from Global Warming http://bit.ly/cN013J #tcot,Y
3407,RT @MikeRwithCRC: Climate change activist proponent Ian Katz complains that global warming debate has fallen apart.  http://bit.ly/bcEzBs,Y
360,Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.,Y
3381,"In the middle of day at least 8 days of Snowmageddon, Obama Administration pushing new agency to study Global Warming. Seriously.",N
465,"Rejoice, NY Times mentions crop wild relatives in article about adapting agriculture to climate change [link]",Y
2609,Check out one of the most important climate change organizations in the world - http://www.theclimategroup.org/ @climategroup,Y
2331,"RT @kokomoko: WSJ- Global warming alarmists have been discredited, but you wouldn't know it from the rhetoric this Earth Day. http://on.wsj.com/bbuPvl",N
650,#justinbiebersucks and global warming is a farce,N
3459,RT @FederalLobbyist: CLIMATE CHANGE? Blizzrd Rearranges Announcement of Feds New Global Warming Office! http://bit.ly/cjiqDh Have to grin!,N
2718,"Guest column, Elliott Denniston: What can we do about climate change? - Joplin Globe -&gt; http://bit.ly/a5fsPi",Y
4090,Climate change - data manipulated for 20 years! http://bit.ly/aqHJEX #News,N
349,Climate change threatening Glacier National Park and Montana's economy - Examiner.com [link],Y
5331,Climate Change Fraud - Cap-and-Trade Treason http://retwt.me/1MXLV (via @ccfeditor),N
3748,Just attended an excellent EDF Board meeting http://bit.ly/61N0U Great eco policy shop. Present challenges on global warming front.,Y
5438,Hard hitting documentry on climate change effects in Bolivia: http://bit.ly/dredC4,Y
3898,DHS: Fossil Fuels and Climate Change are 'National Threats' http://bit.ly/dlQgDY #TCOT #RS,Y
615,"Green' cement made from rice may help tackle global warming|London, April 13 : With the increasing rise in the .. [link]",Y
2536,"RT @cindsy: RT @icanyssa: RT @mandaahey: LETS STOP GLOBAL WARMING PLEASE,LIAT BUMI UDAH KAYAK NERAKA BOCOR",Y
2854,:O YouTube - Thomas Sowell: Global Warming Manufactured by Intellectuals? http://bit.ly/9mJLOt commentator,N
1872,GREEN: Climate Change Wyss Fellow - Sierra Nevada Alliance:  http://bit.ly/dmpyRE,Y
5202,RT @DIGGatomicpoet: Please Digg: Forests are growing faster driven by climate change http://bit.ly/c4NCxG,Y
5333,The winds of climate-change http://goo.gl/fb/r0QcD #energy,Y
3146,New on http://ekwire.com -- Heavy Snow Events:  Not a Contradiction to Global Warming Theory  -- http://ow.ly/15Ytv,Y
1861,Senators prepare compromise climate change bill - Yahoo! News http://retwt.me/1MO0l (via @pauline_ma),Y
4497,If only people knew... =p RT @AhhPhotography: Next thing they're going to blame global warming on is Dihydrogen Monoxide.,N
248,"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on À_ [link]",Y
4118,Climate Change: The Ruse Unravels http://bit.ly/drK1ha #tcot #ocra,N
2602,RT @envirolib: Senators compromise to create bipartisan climate change bill http://cli.gs/DpD0M,Y
336,How do we solve this global warming thing? [link],Y
4416,Obama: Environmental Genius? | Avoid-Global-Warming.com: avoid-global-warming.com - Stop Global Warming! Everythin... http://bit.ly/9BTud0,Y
370,Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link],Y
3840,RT @sciencedaily: Oceans reveal further impacts of climate change: The increasing acidity of the world's oceans -- and that acidity'... http://bit.ly/9YHS1c,Y
39,"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2",N
2366,Will Global Warming Make Iceland's Volcanoes Angry? http://bit.ly/biMjco,Y
1585,Global Warming Today À_ Blog Archive À_ How can we tackle global ...: The only way at present is to reduce greenhous... http://bit.ly/d3eFUB,Y
1445,U.S. Document Calls For À_Global RegimeÀ_ To Tackle Climate Change http://bit.ly/ddyxmX,Y
5399,"Having publicly bought the Global Warming lie some stay loyal, like Lindsay Graham. Others R paid by Al Gore or just stupid.",N
5496,Spanish Companies Waking Up to the Call of Climate Change ' CSR International http://retwt.me/1MSfU (via @CSRint),Y
511,"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]",Y
129,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Y
2449,WV stakeholders tackle climate change concerns: Stakeholders in Western Visayas gather for a two-day regional conf... http://bit.ly/dpaK9s,Y
171,RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link],Y
5237,RT @EcoPreservation: Climate change causes wolverine decline across Canada http://bit.ly/WolverineDecline,Y
177,Global Warming Kills Forests In Colorado [link],Y
4439,Yeah...global warming my ass...,N
4884,Revenue-neutral': The last hope for climate change legislation? http://bit.ly/9PsIMG,Y
124,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Y
5051,"@TheCortez Global Warming causes a change in all patterns of weather. Including warmth, snow and rain",Y
3777,Obama won't protect pika endangered by climate change http://bit.ly/bTyNEH,Y
3355,#Climate change = mother of all financial risks. So why are coal co's still not paying the true costs of their business? http://ow.ly/1onySr,Y
1507,Renewable Energy Advances À_ Ocean Saltiness Shows Global Warming ...: After pulling data from 1.6 million salinity... http://bit.ly/c1fL3g,Y
3704,RT @climatedebate: The great global warming collapse:  http://bit.ly/9vQ30k,N
1901,@andychrism Here's a link to the volcano &lt;--&gt; global warming story http://tinyurl.com/yycupus,Y
4424,"Legislature: global warming is a conspiracy: Examiner.com AP Photo State Representative Mike Noel-R, Kanab, believ... http://bit.ly/dvCD9W",N
174,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Y
3155,"Article: If #climate change researchers sound alarmist, it's b/c they're alarmed (The Globe and Mail) http://tr.im/NEEO",Y
620,"Green' cement made from rice may help tackle global warming: London, April 13 (ANI): With the increasing rise in ... [link]",Y
5812,What are the issues of global warming and possible climate changes ...: What are the issues of global warming and ... http://bit.ly/b0KVEw,Y
247,"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on À_ [link]",Y
609,Germany is an important partner for us in trade as well as in the fight against climate change.,Y
3841,Oceans reveal further impacts of climate change: The increasing acidity of the world's oceans -- and that acidity'... http://bit.ly/9YHS1c,Y
5377,On the frontline of climate change | Joseph Huff-Hannon | Comment is free | gua.. http://retwt.me/1MWUR (via @CifAmerica),Y
3894,GLOBAL WARMING BUSTED by the President! - http://tinyurl.com/yjj5ovp,N
1390,Protect Wildlife Habitat from Climate Change: http://www.thepetitionsite.com/takeaction/820159630,Y
4384,Water at core of climate change impacts: experts: OSLO (Reuters) - The main impact of climate change will be on wa... http://bit.ly/dbUrHS,Y
2380,RT @DavidTheroux Major study: Global warming graph junk science http://tinyurl.com/y6679sm #Bolivia #Teaparty #YAL #C4L #TCOT #TLOT,N
108,@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!,Y
27,A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link],Y
20,"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]",Y
5085,Global warming is killing Canadian wolverine http://bmpost.com/8751,Y
5253,"Put end to the stupid global warming crap, ask perverts to explain the time between ice ages? George and Dick driving SUV's i suppose!",N
5504,@Allochthonous I tend to think that climate change is a RESULT of these processes.,Y
3871,"""Political talk shows discuss global warming. This is science (fiction).""",N
5020,"For those who believe global warming is in progress, please bring your warming to my front yard. I can't see out over the snow drifts. #tcot",N
4941,Economic and Social Consequences of Global Warming  health hazards ;O,Y
4935,"Protein might help fight global warming|DENTON, Texas, Feb. 8 (UPI) -- University of North Texas scientists say .. http://oohja.com/x6CYD",Y
4645,@bradplumer tell us What The #Snowpocalypse Tells Us About Global Warming http://bit.ly/cYwHLy  #climate,Y
637,"Climate change affects subterranean ecosystems|Changes above the ground, such as a higher concentration of carbon .. [link]",Y
4225,"Palin: A ""Bunch of snake oil science"" on global warming: Former Alaska Gov. Sarah Palin, who set up a task force t... http://bit.ly/97PmXU",N
4055,"If Global Warming Is Real Then Why Is It Cold: editorial cartoonists are not scientists, in other words http://bit.ly/azDm9O",N
1102,RT @sciencedaily: Plants remain an effective way of tackling global warming http://bit.ly/d0O3xa,Y
1232,"RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live http://cmpcc.org",Y
4188,Energy and Global Warming News for February 9: Ford to unveil ... http://bit.ly/c0CJ8w,Y
4493,Massachusetts positioned for steep global warming gas reductions http://bit.ly/b5JldK,Y
5,RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Y
302,RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.,Y
1638,RT @RyanNewYork Gulf Coast spill better give Climate Change Legislation some momentum. It's a bigger tragedy than we're even aware of yet.,Y
5294,Climate change bill shouldn't fall victim to immigration reform http://retwt.me/1MZll (via @BUEnetwork),Y
366,Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link],Y
3698,RT @newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent,N
2226,Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change http://bit.ly/cEs5qN by @indigenousissue,Y
683,I believe that Global Warming is an international conspiracy perpetrated by GE in order to sell more air conditioners,N
4102,DHS: Fossil Fuels and Climate Change are 'National Threats' - Vladimir's blog - RedState http://goo.gl/8sQ9 Includes great charts #tcot,Y
3493,Ask Pablo: What Impact Will The Volcano In Iceland Have On Climate Change? http://bit.ly/bZ4FQJ,Y
3529,"RT @MISSMYA: ""Many believe global warming's from man made pollution, but planetary alignments hv a big influence on weather&all aspects of life on Earth""",Y
2456,Cousteau spreads climate change message in Hobart (repeating many of his father's warnings) (ABC) http://bit.ly/bWAgVt,Y
3496,"RT @DougBenson: Dear Stupid People Who Think These Winter Storms Means There's No Such Thing As Global Warming, You're stupid. Love, Shut up",Y
5829,HuffPo: 'Global Warming Causes Volcanoes': Huffington Post blogger DK Matai's bio claims him to be 'an engineer tu... http://bit.ly/dq2Iui,Y
4728,"Al Gore should be arrested for Global Warming Scam, how much did AL take in$$$$$$$$$$ forget the snow ball, hit him with a shovel",N
4036,Yeah totally; so when snow melts; they can show evidence ;) no? @Gemstars: Will Global Warming Mean More Snow? _ http://bit.ly/ao6fql,N
2927,Something must be done to prevent global warming from increasing this planet's temperatures and affecting this planet even more.,Y
2382,"""Proof Of Global Warming"" - http://ping.fm/5wj6n",Y
4180,The Effect Of Organic Farming In Climate Change | Organic Earth http://bit.ly/a1rqhT,Y
1288,"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""",Y
197,Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],Y
5097,Prince Charles On Climate Change: Global Warming Skeptics Are All Liars http://bit.ly/dmKIml,Y
0,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Y
5548,Houston Chronicle: 'The heat goes on: After a blitz by climate change skep.. http://retwt.me/1MQpP (via @climateprogress),Y
4612,"Pro-tip - If you think snow or cold or rain negates global warming, don't post it, you only show how little you know about the topic.",Y
373,"You and Us and Me - China active, serious in tackling climate change, says vic.. [link]",Y
1639,Spill + coal mine tragedy = need for alt energy! RT @RyanNewYork: Gulf Coast spill better give Climate Change Legislation some momentum.,Y
1170,RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  http://www.environmentportal.in/node/302549,Y
471,Namibia: Govt to Get Active On Climate Change [link],Y
3819,"""Too much change is not a good thing; ask the climate"" - Michael Scott",Y
2310,"RT @pauljimerson: ""First World People's Conference on Climate Change and the Rights of Mother Earth."" www.350.org/bolivia",Y
4381,global warming skeptics :P http://bit.ly/aEAwKV Because 'man-made global warming' skeptics in Alaska rock and,N
5717,"Maria Rodale: Back to the Nursery...It's Planting Time!: It's only early April, but global warming has given me a... http://huff.to/cxpLnj",Y
1231,"Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... http://huff.to/9W7JPn",Y
5771,Global warming: Environmental effects: by Mark Somerfield Global warming is thought to be caused by excess CO2 in ... http://bit.ly/cNdjVb,Y
2701,Climate Change Aids Invasive Mosquitofish|The warmer temperatures associated with climate change could speed the .. http://oohja.com/xc60u,Y
43,"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]",N
2627,RT @noreenahertz: RT @mpondfield:How we can afford to tackle climate change...good read http://nyti.ms/doCiD8,Y
1314,Climate Change: Places To See Before They DisappearÀ_The Americas (Photos) http://bit.ly/b8aJbG,Y
1494,EXCLUSIVE - Climate change could raise cost of U.S. allergies http://url4.eu/2cQ8W,Y
1271,Seasonal Allergies Getting Worse From Climate Change http://url4.eu/2mhrI,Y
556,"Republicans, why do you oppose global warming environmental ...: Really it makes no sense to oppose efforts to red... [link]",Y
309,Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... [link],Y
5370,Climate Change Blog: California Academy of Sciences http://retwt.me/1MX7W (via @calacademy),Y
308,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",Y
5798,Climate Confusion How Global Warming Hysteria Leads to Bad science ...: Brand: Average Rating 102 reviews The curr... http://bit.ly/8YZbe0,N
3570,Climate change is transforming the Arctic environment faster than expected (ENN.com) http://www.enn.com/ecosystems/article/40994,Y
1457,Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 4,Y
1485,Report: Save the Whales and They'll Save Us from Global Warming: Need more proof that Global Warming is the proble... http://bit.ly/dBKXCh,Y
526,Royal Society Stunner: Hazardous geosphere activity and global warming linked: Periods of exceptional climate chan... [link],Y
4741,Plz #Digg & RT: Sean Hannity: Snow Storms Contradict Climate Change http://bit.ly/96XkOi ( #p2 #dnj #du1),N
4683,"Palin dismisses global climate change as ""'bunch of snake oil science,"" but then again she probably believes Jesus rode a dinosaur.",Y
5189,Africa: Continent Gets U.S.$29.72 Billion to Combat Climate Change http://bit.ly/9eW0iZ,Y
179,Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link],Y
3124,RT @time D.C. Snowstorm: How Global Warming Makes Blizzards Worse - TIME http://bit.ly/afRApN #green #climate #smh,Y
1091,LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... http://bit.ly/aT8CgK,Y
16,For #EarthDay Global warming could affect patient symptoms [link],Y
1649,"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot",N
5588,Using case studies to research the impact of climate change on vulnerable communities-overview of the hows whats & whys http://xrl.us/bhguwc,Y
454,Fight Climate Change From All Fronts: [link],Y
4165,"If Ensler & Behar represent liberal women, that's such a sad pathetic stmt. Global warming fanatics who yack about their vaginas. Pathetic!",N
1285,@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*,Y
3398,What does disprove it is dishonest scientists -&gt; RT @briandevine @andrewbreitbart I bet you think snow disproves climate change. Idiot,Y
4418,"I thought of killing myself, says climate scandal professor http://bit.ly/ddpGQL GLOBAL WARMING IS A FRAUD 4 WORLD GOVERNMENT! #NWO",N
4128,"http://bit.ly/a0x8kw ;) global warming solutions There Is No Clean Coal, But Obama Is Right about an Energy and Climate Bill",Y
4281,OUR VIEW: The newest blow to global warming theory: The rush to impose Draconian regulations to fight global warmi... http://bit.ly/aRcdDg,Y
662,Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!,N
420,Global warming can be good for [link],Y
677,"Climate Change Fraud - Global Warming, Ethanol, DDT and ... [link]",N
1310,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb60z",Y
4795,"Looking for a way to beat his own record and quadruple the deficit next year, Obama sets up new agency for global warming propaganda",N
1227,Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake http://bit.ly/apYoIc,Y
2251,Greenpeace - Making Waves: The Agreement of the People at the World People's Conference on Climate Change and the ... http://bit.ly/9UuKE6,Y
357,"Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger [link]",Y
4032,"http://twitpic.com/11zs79 - Terra view of the near record show storm over Washington DC.  ""Global warming""??  Ha Ha!!!",N
4591,RT @GIS_Forester: Reading an interesting article: Ecologists Link Accelerated Tree Growth to Climate Change http://tr.im/MKL6 #forestry,Y
3272,Media Matters still using junk science 2007 IPCC report on global warming... http://ow.ly/15UdJ,N
5941,"""How to fabricate climate change evidence"" - http://bit.ly/cdttyk (via @arkiebrian)",N
3312,"RT @NWF: BudBurst volunteers needed: to look for ""ten most wanted"" plants to assess clues to climate change: http://bit.ly/bdlpVW",Y
2432,[Climate Progress] The complete guide to modern day climate change - All the data you need to show that the world ... http://bit.ly/cK46HY,Y
1338,Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z,Y
342,Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link],Y
1526,Royal Society Stunner: Hazardous geosphere activity and global warming linked: Periods of exceptional climate chan... http://bit.ly/cUtIiv,Y
1234,Topography of mountains could complicate rates of global warming http://bit.ly/cA5Bom,Y
4589,@Slyty17 Obama is the new Hitler. Your campus is a disappointment. You'll graduate believing in global warming & unemployed! Get a clue!,N
4143,Video: MS-NBC's Brewer claims heavy snowfall proves global warming http://bit.ly/cJM3Xp,Y
4320,Global warming likely cause of Australia's drought: Australia's long-standing drought likely arises from global wa... http://bit.ly/aaCLxA,Y
2508,Wisconsin's scaled-back global warming bill unveiled: A revised state clean energy and global warming bill unveile... http://bit.ly/bSOrWH,Y
1290,"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws http://bit.ly/cwy6b3 via @addthis",Y
5208,Climate change causes wolverine decline across Canada http://bit.ly/bsVEVW,Y
4658,"@mimidancer just because it also gets colder doesn't mean it's not global warming first off.  Secondly, I approve of #hoth.",Y
4369,@Emperor_Bob Global Warming is only undeniable to the far Left who are not interested in pesky facts. The science is just not there.,N
3448,"Climate change will mk the world more fragrant, as warming temperatures mk plants release more chems http://bit.ly/dw6wQq (via @bbcscitech)",Y
2531,RT @ClimateBuzz: How the world can move forward in climate change negotiations -http://bit.ly/c6InLW,Y
2706,"http://tinyurl.com/2968le4 30,000 Anti-Global Warming Scientists Can't Be Wrong",N
1214,Military leads fight against climate change http://z3igz.tk EnvNewsNet,Y
