Respondent|Hobby|OpenSource|Country|Student|Employment|FormalEducation|UndergradMajor|CompanySize|DevType|YearsCoding|YearsCodingProf|JobSatisfaction|CareerSatisfaction|HopeFiveYears|JobSearchStatus|LastNewJob|AssessJob1|AssessJob2|AssessJob3|AssessJob4|AssessJob5|AssessJob6|AssessJob7|AssessJob8|AssessJob9|AssessJob10|AssessBenefits1|AssessBenefits2|AssessBenefits3|AssessBenefits4|AssessBenefits5|AssessBenefits6|AssessBenefits7|AssessBenefits8|AssessBenefits9|AssessBenefits10|AssessBenefits11|JobContactPriorities1|JobContactPriorities2|JobContactPriorities3|JobContactPriorities4|JobContactPriorities5|JobEmailPriorities1|JobEmailPriorities2|JobEmailPriorities3|JobEmailPriorities4|JobEmailPriorities5|JobEmailPriorities6|JobEmailPriorities7|UpdateCV|Currency|Salary|SalaryType|ConvertedSalary|CurrencySymbol|CommunicationTools|TimeFullyProductive|EducationTypes|SelfTaughtTypes|TimeAfterBootcamp|HackathonReasons|AgreeDisagree1|AgreeDisagree2|AgreeDisagree3|LanguageWorkedWith|LanguageDesireNextYear|DatabaseWorkedWith|DatabaseDesireNextYear|PlatformWorkedWith|PlatformDesireNextYear|FrameworkWorkedWith|FrameworkDesireNextYear|IDE|OperatingSystem|NumberMonitors|Methodology|VersionControl|CheckInCode|AdBlocker|AdBlockerDisable|AdBlockerReasons|AdsAgreeDisagree1|AdsAgreeDisagree2|AdsAgreeDisagree3|AdsActions|AdsPriorities1|AdsPriorities2|AdsPriorities3|AdsPriorities4|AdsPriorities5|AdsPriorities6|AdsPriorities7|AIDangerous|AIInteresting|AIResponsible|AIFuture|EthicsChoice|EthicsReport|EthicsResponsible|EthicalImplications|StackOverflowRecommend|StackOverflowVisit|StackOverflowHasAccount|StackOverflowParticipate|StackOverflowJobs|StackOverflowDevStory|StackOverflowJobsRecommend|StackOverflowConsiderMember|HypotheticalTools1|HypotheticalTools2|HypotheticalTools3|HypotheticalTools4|HypotheticalTools5|WakeTime|HoursComputer|HoursOutside|SkipMeals|ErgonomicDevices|Exercise|Gender|SexualOrientation|EducationParents|RaceEthnicity|Age|Dependents|MilitaryUS|SurveyTooLong|SurveyEasy
97017|Yes|No|United States|No|Employed full-time|Some college/university study without earning a degree|Another engineering discipline (ex. civil, electrical, mechanical)|20 to 99 employees|Back-end developer;Front-end developer;Full-stack developer;Mobile developer|0-2 years|0-2 years|Moderately satisfied|Neither satisfied nor dissatisfied|Working in a different or more specialized technical role than the one I'm in now|I’m not actively looking, but I am open to new opportunities|Less than a year ago|8.0|4.0|6.0|3.0|1.0|7.0|2.0|5.0|10.0|9.0|1.0|5.0|3.0|11.0|8.0|2.0|7.0|6.0|9.0|10.0|4.0|5.0|1.0|4.0|2.0|3.0|5.0|6.0|1.0|3.0|2.0|7.0|4.0|I received bad news about the future of my company or department|U.S. dollars ($)|65000|Yearly|65000.0|USD|Jira;Slack|One to three months|Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)|Four to six months|To build my professional network;Because I find it enjoyable|Agree|Strongly disagree|Disagree|JavaScript;Ruby;SQL;TypeScript;HTML;CSS|JavaScript;Python;Ruby;Rust;SQL;TypeScript|PostgreSQL;SQLite;Google Cloud Storage|MongoDB;Redis;PostgreSQL;Google BigQuery;Google Cloud Storage;Elasticsearch|Android;Google Cloud Platform/App Engine;iOS;Salesforce;Firebase|Android;Google Cloud Platform/App Engine;iOS;Raspberry Pi;Firebase|Angular;Node.js;Cordova|Angular;Node.js;React;Spark;TensorFlow|Android Studio;Sublime Text;Xcode|MacOS|2|Agile;Kanban;Pair programming;Scrum|Git|Once a day|Yes|No||Strongly disagree|Strongly disagree|Strongly agree|Stopped going to a website because of their advertising|2.0|1.0|4.0|3.0|5.0|7.0|6.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Depends on what it is|Upper management at the company/organization|Yes|10 (Very Likely)|Daily or almost daily|Yes|A few times per week|Yes|No, and I don't know what that is|6|No|Somewhat interested|Not at all interested|Extremely interested|Extremely interested|Extremely interested|Between 6:01 - 7:00 AM|9 - 12 hours|Less than 30 minutes|1 - 2 times per week||I don't typically exercise|Male|Straight or heterosexual|Other doctoral degree (Ph.D, Ed.D., etc.)|White or of European descent|18 - 24 years old|No|No|The survey was too long|Very easy
42987|Yes|Yes|France|No|Employed part-time|Some college/university study without earning a degree|A humanities discipline (ex. literature, history, philosophy)|Fewer than 10 employees|Front-end developer|18-20 years|9-11 years|Moderately satisfied|Moderately satisfied|Working in a different or more specialized technical role than the one I'm in now|I’m not actively looking, but I am open to new opportunities|Between 2 and 4 years ago|2.0|10.0|6.0|1.0|9.0|5.0|7.0|8.0|4.0|3.0|1.0|11.0|3.0|5.0|9.0|4.0|10.0|8.0|2.0|6.0|7.0|4.0|1.0|5.0|2.0|3.0|2.0|4.0|1.0|3.0|5.0|7.0|6.0||Euros (€)|1600|Monthly|23496.0|EUR|Slack|One to three months|Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software|The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system||To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable|Agree|Neither Agree nor Disagree|Agree|JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell|JavaScript;HTML;CSS;Bash/Shell|MongoDB;MySQL;PostgreSQL|MongoDB|Heroku;WordPress|Raspberry Pi;Serverless;Firebase|Node.js;Cordova|Node.js;React|Vim|MacOS|1||Git|Multiple times per day|Yes|Yes|I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Somewhat agree|Neither agree nor disagree|Stopped going to a website because of their advertising;Paid to access a website advertisement-free|1.0|5.0|3.0|4.0|2.0|6.0|7.0|"Artificial intelligence surpassing human intelligence (""the singularity"")"|Increasing automation of jobs|A governmental or other regulatory body|I'm excited about the possibilities more than worried about the dangers.|No|Yes, but only within the company|Upper management at the company/organization|Yes|8|Multiple times per day|Yes|A few times per month or weekly|No, I knew that Stack Overflow had a jobs board but have never used or visited it|No, I have one but it's out of date||Yes|Very interested|Very interested|Extremely interested|Somewhat interested|Somewhat interested|Between 8:01 - 9:00 AM|9 - 12 hours|Less than 30 minutes|Never||I don't typically exercise|Male|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)|White or of European descent|25 - 34 years old|No||The survey was too long|Somewhat easy
8142|Yes|Yes|United States|No|Employed full-time|Some college/university study without earning a degree|Computer science, computer engineering, or software engineering|100 to 499 employees|Back-end developer;Full-stack developer|12-14 years|12-14 years|Extremely dissatisfied|Extremely dissatisfied|Doing the same work|I am not interested in new job opportunities|Less than a year ago|3.0|4.0|6.0|2.0|9.0|5.0|1.0|10.0|8.0|7.0|4.0|10.0|1.0|6.0|3.0|7.0|5.0|2.0|9.0|11.0|8.0|||||||||||||My job status or other personal status changed|U.S. dollars ($)|153000||153000.0|USD|Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)|Less than a month|Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software|The official documentation and/or standards for the technology||Because I find it enjoyable|Agree|Agree|Disagree|C#;Go;JavaScript;Ruby;SQL;TypeScript;VB.NET;Bash/Shell|Go;SQL;Bash/Shell|MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Elasticsearch|Redis;PostgreSQL|Amazon Echo;Linux;Mac OS;Raspberry Pi|Amazon Echo;Linux;Mac OS;Raspberry Pi|.NET Core;Node.js||Vim;Visual Studio Code|MacOS|1|Agile;Kanban;Pair programming|Git|Multiple times per day|Yes|No||Somewhat disagree|Somewhat agree|Somewhat agree|Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising|6.0|1.0|4.0|7.0|5.0|3.0|2.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Increasing automation of jobs|Prominent industry leaders|I'm worried about the dangers more than I'm excited about the possibilities.|No|Yes, but only within the company|Upper management at the company/organization|Yes|10 (Very Likely)|Daily or almost daily|Yes|Less than once per month or monthly|Yes|No, I have one but it's out of date|7|Yes|A little bit interested|A little bit interested|A little bit interested|Not at all interested|A little bit interested|Between 7:01 - 8:00 AM|5 - 8 hours|30 - 59 minutes|Never|Standing desk;Fatigue-relieving floor mat|1 - 2 times per week|Male|Straight or heterosexual|Primary/elementary school|White or of European descent|25 - 34 years old|Yes|No|The survey was an appropriate length|Very easy
51784|No|No|United States|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering|500 to 999 employees|Engineering manager|18-20 years|15-17 years|Moderately satisfied|Moderately satisfied|Working as a founder or co-founder of my own company|I’m not actively looking, but I am open to new opportunities|Between 1 and 2 years ago|5.0|2.0|8.0|6.0|1.0|3.0|10.0|4.0|9.0|7.0|1.0|2.0|3.0|10.0|9.0|7.0|4.0|5.0|11.0|6.0|8.0|5.0|1.0|3.0|2.0|4.0|2.0|1.0|4.0|5.0|3.0|6.0|7.0|I did not receive an expected change in compensation|U.S. dollars ($)|180000|Yearly|180000.0|USD|Confluence;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack|Three to six months|Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
90019|Yes|Yes|India|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering|20 to 99 employees|Mobile developer|3-5 years|0-2 years|Extremely satisfied|Extremely satisfied|Working as a founder or co-founder of my own company|I’m not actively looking, but I am open to new opportunities|Less than a year ago|6.0|9.0|7.0|3.0|8.0|5.0|10.0|2.0|4.0|1.0|2.0|1.0|5.0|7.0|11.0|6.0|9.0|10.0|8.0|4.0|3.0|2.0|1.0|5.0|3.0|4.0|2.0|3.0|5.0|1.0|6.0|7.0|4.0|I did not receive an expected change in compensation|Indian rupees (₹)|600000|Yearly|9393.0|INR|Slack|Less than a month|Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology|||Strongly agree|Strongly agree|Strongly disagree|C;Objective-C;Swift|Objective-C;Swift|SQLite|SQLite|Firebase|Firebase|||Xcode|MacOS|More than 4|Agile;Scrum|Git|Multiple times per day|No|||Strongly agree|Strongly agree|Somewhat agree|Stopped going to a website because of their advertising|2.0|4.0|1.0|6.0|3.0|5.0|7.0|Algorithms making important decisions|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|The developers or the people creating the AI|I don't care about it, or I haven't thought about it.|Depends on what it is|Yes, but only within the company|Upper management at the company/organization|Unsure / I don't know|10 (Very Likely)|Multiple times per day|Yes|Daily or almost daily|Yes|No, I have one but it's out of date|10 (Very Likely)|Yes||Extremely interested|Extremely interested|||Between 6:01 - 7:00 AM|9 - 12 hours|30 - 59 minutes|3 - 4 times per week||1 - 2 times per week|Female|Straight or heterosexual|Bachelor’s degree (BA, BS, B.Eng., etc.)||18 - 24 years old|Yes||The survey was too long|Neither easy nor difficult
1644|Yes|Yes|Brazil|Yes, part-time|Employed part-time|Some college/university study without earning a degree|Computer science, computer engineering, or software engineering|Fewer than 10 employees|Back-end developer;Database administrator;Designer;DevOps specialist;Full-stack developer;Mobile developer;Student;System administrator|3-5 years|3-5 years||||||||||||||||||||||||||||||||||||||||||||||||||||||Java;JavaScript;PHP;Python;SQL;HTML;CSS|Java;JavaScript;Objective-C;Python;SQL;Kotlin|||||||Android Studio;Eclipse;IPython / Jupyter;PHPStorm;PyCharm;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code|Linux-based|2||Git|Multiple times per day|Yes|I'm not sure/I can't remember||Neither agree nor disagree|Strongly agree|Somewhat disagree|Clicked on an online advertisement||||||||Increasing automation of jobs|Increasing automation of jobs|The developers or the people creating the AI|||||||||||||||||||||||||||||||||
26089|Yes|No|India|No|Independent contractor, freelancer, or self-employed|Bachelor’s degree (BA, BS, B.Eng., etc.)|Another engineering discipline (ex. civil, electrical, mechanical)||Back-end developer;Front-end developer;Full-stack developer|9-11 years|9-11 years|Extremely satisfied|Moderately satisfied|Working as a founder or co-founder of my own company|I’m not actively looking, but I am open to new opportunities|Between 1 and 2 years ago|||||||||||||||||||||||||||||||||||Indian rupees (₹)|||||Stack Overflow Enterprise|||||||||C#;JavaScript;HTML;CSS|C#;JavaScript;HTML;CSS|SQL Server|SQL Server|Android;Azure|Android;Azure|Angular;.NET Core;Cordova|Angular;.NET Core;Cordova|Android Studio;Visual Studio;Visual Studio Code;Xcode|MacOS|1|Agile|Git;Team Foundation Version Control|A few times per week|No|||Strongly agree|Strongly disagree|Somewhat agree|Stopped going to a website because of their advertising||||||||||A governmental or other regulatory body|I'm worried about the dangers more than I'm excited about the possibilities.|No|Yes, but only within the company|Upper management at the company/organization|Yes|10 (Very Likely)|Daily or almost daily|Yes|A few times per month or weekly|Yes|No, I know what it is but I don't have one|7|Yes|Very interested|Somewhat interested|Very interested|Not at all interested|Somewhat interested|Between 5:00 - 6:00 AM|9 - 12 hours|30 - 59 minutes|Never|Standing desk;Ergonomic keyboard or mouse|Daily or almost every day||||||||The survey was too long|Neither easy nor difficult
60818|Yes|No|Denmark|No|Independent contractor, freelancer, or self-employed|Master’s degree (MA, MS, M.Eng., MBA, etc.)|A natural science (ex. biology, chemistry, physics)||Full-stack developer|27-29 years|15-17 years|Moderately satisfied|Slightly satisfied|Working as a founder or co-founder of my own company|I am not interested in new job opportunities|Between 2 and 4 years ago|9.0|10.0|6.0|5.0|4.0|3.0|8.0|1.0|7.0|2.0|2.0|7.0|9.0|11.0|8.0|5.0|6.0|4.0|10.0|1.0|3.0|||||||||||||My job status or other personal status changed|Danish krone (kr)|60000|Monthly|118344.0|DKK|Other wiki tool (Github, Google Sites, proprietary software, etc.)||Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course|A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;The technology’s online help system|||Agree|Strongly agree|Disagree|C#;JavaScript;SQL;HTML;CSS|C#;JavaScript;SQL;HTML;CSS|SQL Server|SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j|||.NET Core|.NET Core|Notepad++;Visual Studio|Windows|2|Agile;PRINCE2|Git|Once a day|Yes|Yes|The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Somewhat disagree|Somewhat disagree|Stopped going to a website because of their advertising|1.0|2.0|3.0|5.0|6.0|7.0|4.0|Algorithms making important decisions|Increasing automation of jobs|A governmental or other regulatory body|I'm worried about the dangers more than I'm excited about the possibilities.|No|Depends on what it is|The person who came up with the idea|Yes|10 (Very Likely)|Multiple times per day|Yes|Less than once per month or monthly|Yes|No, I have one but it's out of date|10 (Very Likely)|Yes|Somewhat interested|Somewhat interested|A little bit interested|Somewhat interested|Somewhat interested|Between 6:01 - 7:00 AM|5 - 8 hours|1 - 2 hours|Never|Standing desk|3 - 4 times per week|Male|Straight or heterosexual|Professional degree (JD, MD, etc.)|White or of European descent|45 - 54 years old|Yes||The survey was too long|Somewhat easy
68065|Yes|Yes|Turkey|No|Not employed, but looking for work|Bachelor’s degree (BA, BS, B.Eng., etc.)|Another engineering discipline (ex. civil, electrical, mechanical)||Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;System administrator|6-8 years|6-8 years||Slightly dissatisfied|Working as a founder or co-founder of my own company|I’m not actively looking, but I am open to new opportunities||||||||||||||||||||||||||||||||||||U.S. dollars ($)||||||||||||||JavaScript;PHP;SQL;HTML;CSS;Bash/Shell|JavaScript;HTML;CSS;Bash/Shell|MongoDB;MySQL;MariaDB|MongoDB|Linux;WordPress|Linux|Angular;Node.js;React|Node.js|Visual Studio Code|Linux-based|1||Git|Multiple times per day|Yes|I'm not sure/I can't remember||Somewhat agree|Strongly agree|Somewhat agree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising||||||||"Artificial intelligence surpassing human intelligence (""the singularity"")"|Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|No||||10 (Very Likely)|Multiple times per day|Yes|||||Yes||||||||||||||||||||
15635|Yes|No|Sweden|No|Employed full-time|Associate degree|Information systems, information technology, or system administration|20 to 99 employees|Front-end developer|15-17 years|12-14 years|Moderately satisfied|Moderately satisfied|Doing the same work|I’m not actively looking, but I am open to new opportunities|Between 1 and 2 years ago|10.0|9.0|3.0|1.0|2.0|7.0|8.0|4.0|5.0|6.0|1.0|7.0|10.0|3.0|8.0|4.0|5.0|2.0|6.0|9.0|11.0|4.0|1.0|5.0|2.0|3.0||||||||A recruiter contacted me|Swedish kroner (SEK)|43000|Monthly|64380.0|SEK|Confluence;Jira;Slack|One to three months|Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)||Because I find it enjoyable|Agree|Disagree|Strongly agree|C#;F#;JavaScript;TypeScript;HTML;CSS|F#;JavaScript;TypeScript;HTML;CSS||||AWS;Azure;Serverless|Node.js;React|.NET Core;Node.js;React|Vim;Visual Studio;Visual Studio Code|Windows|2|Agile;Scrum|Git|Multiple times per day|No|||Somewhat agree|Somewhat agree|Neither agree nor disagree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad)|1.0|4.0|6.0|3.0|2.0|5.0|7.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Algorithms making important decisions|A governmental or other regulatory body|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Depends on what it is|The developer who wrote it|Yes|10 (Very Likely)|A few times per week|Yes|Less than once per month or monthly|Yes|No, I have one but it's out of date|10 (Very Likely)|I'm not sure|A little bit interested|Somewhat interested|A little bit interested|A little bit interested|A little bit interested|Between 7:01 - 8:00 AM|9 - 12 hours|Less than 30 minutes|Never|Standing desk|I don't typically exercise|Male|Straight or heterosexual|Some college/university study without earning a degree|White or of European descent|25 - 34 years old|No||The survey was too long|Somewhat easy
81042|No|No|United States|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering|100 to 499 employees|Back-end developer;Front-end developer|15-17 years|15-17 years|Moderately satisfied|Moderately satisfied|Working as a founder or co-founder of my own company|I am actively looking for a job|Less than a year ago||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
14747|Yes|Yes|New Zealand|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering|1,000 to 4,999 employees|C-suite executive (CEO, CTO, etc.);Database administrator;DevOps specialist;Full-stack developer|15-17 years|15-17 years|Extremely satisfied|Extremely satisfied|Doing the same work|I’m not actively looking, but I am open to new opportunities|More than 4 years ago|9.0|1.0|5.0|6.0|3.0|2.0|10.0|7.0|8.0|4.0|1.0|11.0|7.0|9.0|10.0|2.0|6.0|5.0|8.0|3.0|4.0|2.0|1.0|4.0|5.0|3.0|4.0|6.0|1.0|3.0|2.0|7.0|5.0|My job status or other personal status changed||||||Facebook;Google Hangouts/Chat;Jira|Less than a month|Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software|The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology|||Strongly agree|Neither Agree nor Disagree|Neither Agree nor Disagree|C#;JavaScript;PHP;SQL;VBA;VB.NET;HTML;CSS|C#;JavaScript;SQL;HTML;CSS|SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)|SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)|AWS;Azure;Linux;Salesforce;SharePoint;Windows Desktop or Server;WordPress|AWS;Azure;Salesforce;Windows Desktop or Server|Angular;.NET Core;Xamarin|Angular;.NET Core|Eclipse;Notepad++;Visual Studio|Windows|4|Agile;Scrum|Team Foundation Version Control|Multiple times per day|Yes|Yes|The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Somewhat agree|Neither agree nor disagree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising|1.0|5.0|3.0|2.0|4.0|6.0|7.0|"Evolving definitions of ""fairness"" in algorithmic versus human decisions"|Algorithms making important decisions|A governmental or other regulatory body|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Depends on what it is|The person who came up with the idea|Yes|10 (Very Likely)|Daily or almost daily|Yes|A few times per month or weekly|Yes|No, I know what it is but I don't have one|7|Yes|Somewhat interested|Somewhat interested|Very interested|Very interested|Somewhat interested|Between 5:00 - 6:00 AM|5 - 8 hours|3 - 4 hours|Never|Fatigue-relieving floor mat|3 - 4 times per week|Male|Straight or heterosexual|Master’s degree (MA, MS, M.Eng., MBA, etc.)||35 - 44 years old|Yes||The survey was an appropriate length|Neither easy nor difficult
32399|Yes|Yes|Canada|No|Employed full-time|Some college/university study without earning a degree|Computer science, computer engineering, or software engineering|100 to 499 employees|Back-end developer;Database administrator;Designer;Full-stack developer;System administrator|15-17 years|9-11 years|Extremely satisfied|Extremely satisfied|Doing the same work|I am not interested in new job opportunities|Between 2 and 4 years ago||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
94387|No|No|Panama|Yes, full-time|Employed full-time|Some college/university study without earning a degree|Computer science, computer engineering, or software engineering|100 to 499 employees|Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer|9-11 years|9-11 years|Extremely dissatisfied|Extremely satisfied|Doing the same work|I am actively looking for a job|More than 4 years ago|9.0|4.0|8.0|2.0|5.0|6.0|1.0|7.0|10.0|3.0|1.0|8.0|4.0|5.0|11.0|2.0|10.0|3.0|7.0|9.0|6.0|3.0|1.0|5.0|4.0|2.0|1.0|7.0|4.0|2.0|5.0|3.0|6.0|I had a negative experience or interaction at work|U.S. dollars ($)|2100|Monthly|25200.0|USD|Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)|One to three months|Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course|The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system|||Neither Agree nor Disagree|Agree|Neither Agree nor Disagree|C;C++;C#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell|C#;JavaScript;Objective-C;PHP;Python;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell|SQL Server;MySQL;Elasticsearch|MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Amazon DynamoDB;Google Cloud Storage;Elasticsearch|Android;Arduino;AWS;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server|Android;Arduino;AWS;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server||Angular;.NET Core;Django;Node.js;React;Xamarin;TensorFlow|Atom;NetBeans;Notepad++;PyCharm;Visual Studio;Visual Studio Code;Xcode|Windows|1|Agile|Git;Subversion|Multiple times per day|No|||Strongly disagree|Strongly disagree|Strongly agree|Stopped going to a website because of their advertising||||||||Algorithms making important decisions|Increasing automation of jobs|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Yes, but only within the company|The developer who wrote it|Yes|10 (Very Likely)|A few times per week|Yes|Less than once per month or monthly|Yes|No, and I don't know what that is|3|I'm not sure|Very interested|Not at all interested|Very interested|Very interested|Very interested|Before 5:00 AM|9 - 12 hours|3 - 4 hours|Never|Ergonomic keyboard or mouse|I don't typically exercise|Male|Straight or heterosexual|Primary/elementary school|Hispanic or Latino/Latina|25 - 34 years old|No||The survey was an appropriate length|Neither easy nor difficult
5055|Yes|Yes|United States|No|Employed full-time|Bachelor’s degree (BA, BS, B.Eng., etc.)|Computer science, computer engineering, or software engineering|20 to 99 employees|Back-end developer;Desktop or enterprise applications developer;QA or test developer|6-8 years|3-5 years|Moderately dissatisfied|Slightly dissatisfied|Working in a career completely unrelated to software development|I’m not actively looking, but I am open to new opportunities|Between 1 and 2 years ago|1.0|6.0|7.0|3.0|2.0|4.0|10.0|5.0|9.0|8.0|1.0|4.0|3.0|11.0|6.0|2.0|9.0|5.0|10.0|7.0|8.0|2.0|1.0|5.0|3.0|4.0|7.0|2.0|1.0|5.0|3.0|4.0|6.0|I saw an employer’s advertisement|U.S. dollars ($)|80000|Yearly|80000.0|USD|Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Stack Overflow Enterprise|One to three months|Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software|The official documentation and/or standards for the technology;The technology’s online help system|||Neither Agree nor Disagree|Disagree|Neither Agree nor Disagree|C++;C#;VB.NET|C#;Go;Rust|||Windows Desktop or Server|Google Home;Windows Desktop or Server||.NET Core|Notepad++;Visual Studio|Windows|2||Git|A few times per week|Yes|Yes|The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads|Somewhat agree|Somewhat agree|Somewhat disagree|Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Paid to access a website advertisement-free|1.0|5.0|2.0|3.0|4.0|7.0|6.0|"Artificial intelligence surpassing human intelligence (""the singularity"")"|"Artificial intelligence surpassing human intelligence (""the singularity"")"|The developers or the people creating the AI|I'm excited about the possibilities more than worried about the dangers.|Depends on what it is|Depends on what it is|The developer who wrote it|Yes|9|A few times per month or weekly|Yes|I have never participated in Q&A on Stack Overflow|Yes|No, and I don't know what that is|5|No|Not at all interested|A little bit interested|A little bit interested|Somewhat interested|Not at all interested|Between 6:01 - 7:00 AM|9 - 12 hours|Less than 30 minutes|Never||I don't typically exercise|Male||Bachelor’s degree (BA, BS, B.Eng., etc.)|||No|Yes|The survey was an appropriate length|Somewhat easy
